v8-version,8,4,371,23,-node.84,0
code-creation,Builtin,3,5071,0x1401140,12,EmptyFunction
code-creation,Builtin,3,5083,0x1401160,12,Illegal
code-creation,Builtin,3,5093,0x1401180,12,StrictPoisonPillThrower
code-creation,Builtin,3,5104,0x14011a0,12,UnsupportedThrower
code-creation,Builtin,3,5114,0x14011c0,65,ReturnReceiver
code-creation,Builtin,3,5125,0x1401220,36,ArrayConstructor
code-creation,Builtin,3,5136,0x1401260,413,ArrayConstructorImpl
code-creation,Builtin,3,5146,0x1401400,221,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,5160,0x14014e0,221,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,5172,0x14015c0,181,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,5186,0x1401680,181,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,5200,0x1401740,181,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,5213,0x1401800,181,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
tick,0x7fb6908a45f3,5251,0,0x0,6
code-creation,Builtin,3,5268,0x14018c0,193,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,5285,0x14019a0,193,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,5300,0x1401a80,521,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,5314,0x1401ca0,485,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,5339,0x1401ea0,445,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,5351,0x1402060,405,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,5363,0x1402200,445,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,5375,0x14023c0,405,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,5386,0x1402560,453,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,5399,0x1402740,417,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,5411,0x1402900,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,5421,0x1402960,12,ArrayConcat
code-creation,Builtin,3,5429,0x1402980,12,ArrayPrototypeFill
code-creation,Builtin,3,5438,0x14029a0,958,ArrayIncludesSmiOrObject
code-creation,Builtin,3,5447,0x1402d60,148,ArrayIncludesPackedDoubles
code-creation,Builtin,3,5456,0x1402e00,216,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,5464,0x1402ee0,561,ArrayIncludes
code-creation,Builtin,3,5473,0x1403120,882,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,5481,0x14034a0,124,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,5491,0x1403520,124,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,5501,0x14035a0,569,ArrayIndexOf
code-creation,Builtin,3,5510,0x14037e0,12,ArrayPop
code-creation,Builtin,3,5518,0x1403800,674,ArrayPrototypePop
code-creation,Builtin,3,5528,0x1403ac0,12,ArrayPush
code-creation,Builtin,3,5538,0x1403ae0,2758,ArrayPrototypePush
code-creation,Builtin,3,5547,0x14045c0,12,ArrayShift
code-creation,Builtin,3,5555,0x14045e0,12,ArrayUnshift
code-creation,Builtin,3,5564,0x1404600,1074,CloneFastJSArray
code-creation,Builtin,3,5572,0x1404a40,2482,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,5581,0x1405400,1082,ExtractFastJSArray
code-creation,Builtin,3,5590,0x1405840,287,ArrayPrototypeEntries
code-creation,Builtin,3,5599,0x1405960,271,ArrayPrototypeKeys
code-creation,Builtin,3,5608,0x1405a80,287,ArrayPrototypeValues
code-creation,Builtin,3,5617,0x1405ba0,4332,ArrayIteratorPrototypeNext
code-creation,Builtin,3,5627,0x1406ca0,3988,FlattenIntoArray
code-creation,Builtin,3,5635,0x1407c40,4012,FlatMapIntoArray
code-creation,Builtin,3,5644,0x1408c00,508,ArrayPrototypeFlat
code-creation,Builtin,3,5654,0x1408e00,556,ArrayPrototypeFlatMap
code-creation,Builtin,3,5664,0x1409040,12,ArrayBufferConstructor
code-creation,Builtin,3,5674,0x1409060,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,5685,0x1409080,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,5695,0x14090a0,12,ArrayBufferIsView
code-creation,Builtin,3,5705,0x14090c0,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,5715,0x14090e0,724,AsyncFunctionEnter
code-creation,Builtin,3,5724,0x14093c0,161,AsyncFunctionReject
code-creation,Builtin,3,5733,0x1409480,153,AsyncFunctionResolve
code-creation,Builtin,3,5741,0x1409520,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,5752,0x1409540,2376,AsyncFunctionAwaitCaught
code-creation,Builtin,3,5775,0x1409ea0,2376,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,5788,0x140a800,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,5799,0x140a8c0,179,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,5810,0x140a980,12,BigIntConstructor
code-creation,Builtin,3,5821,0x140a9a0,12,BigIntAsUintN
code-creation,Builtin,3,5830,0x140a9c0,12,BigIntAsIntN
code-creation,Builtin,3,5840,0x140a9e0,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,5850,0x140aa00,12,BigIntPrototypeToString
code-creation,Builtin,3,5861,0x140aa20,12,BigIntPrototypeValueOf
code-creation,Builtin,3,5870,0x140aa40,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,5881,0x140aa60,12,CallSitePrototypeGetEnclosingColumnNumber
code-creation,Builtin,3,5892,0x140aa80,12,CallSitePrototypeGetEnclosingLineNumber
code-creation,Builtin,3,5903,0x140aaa0,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,5913,0x140aac0,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,5924,0x140aae0,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,5944,0x140ab00,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,5956,0x140ab20,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,5967,0x140ab40,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,5978,0x140ab60,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,5988,0x140ab80,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,5999,0x140aba0,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,6011,0x140abc0,12,CallSitePrototypeGetThis
code-creation,Builtin,3,6021,0x140abe0,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,6032,0x140ac00,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,6043,0x140ac20,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,6054,0x140ac40,12,CallSitePrototypeIsEval
code-creation,Builtin,3,6063,0x140ac60,12,CallSitePrototypeIsNative
code-creation,Builtin,3,6075,0x140ac80,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,6085,0x140aca0,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,6096,0x140acc0,12,CallSitePrototypeToString
code-creation,Builtin,3,6105,0x140ace0,12,ConsoleDebug
code-creation,Builtin,3,6114,0x140ad00,12,ConsoleError
code-creation,Builtin,3,6123,0x140ad20,12,ConsoleInfo
code-creation,Builtin,3,6132,0x140ad40,12,ConsoleLog
code-creation,Builtin,3,6141,0x140ad60,12,ConsoleWarn
code-creation,Builtin,3,6149,0x140ad80,12,ConsoleDir
code-creation,Builtin,3,6158,0x140ada0,12,ConsoleDirXml
code-creation,Builtin,3,6166,0x140adc0,12,ConsoleTable
code-creation,Builtin,3,6174,0x140ade0,12,ConsoleTrace
code-creation,Builtin,3,6183,0x140ae00,12,ConsoleGroup
code-creation,Builtin,3,6192,0x140ae20,12,ConsoleGroupCollapsed
code-creation,Builtin,3,6201,0x140ae40,12,ConsoleGroupEnd
code-creation,Builtin,3,6211,0x140ae60,12,ConsoleClear
code-creation,Builtin,3,6221,0x140ae80,12,ConsoleCount
code-creation,Builtin,3,6230,0x140aea0,12,ConsoleCountReset
code-creation,Builtin,3,6241,0x140aec0,12,ConsoleAssert
code-creation,Builtin,3,6251,0x140aee0,12,ConsoleProfile
code-creation,Builtin,3,6260,0x140af00,12,ConsoleProfileEnd
code-creation,Builtin,3,6269,0x140af20,12,ConsoleTime
code-creation,Builtin,3,6279,0x140af40,12,ConsoleTimeLog
code-creation,Builtin,3,6289,0x140af60,12,ConsoleTimeEnd
code-creation,Builtin,3,6298,0x140af80,12,ConsoleTimeStamp
code-creation,Builtin,3,6309,0x140afa0,12,ConsoleContext
code-creation,Builtin,3,6319,0x140afc0,12,DataViewConstructor
code-creation,Builtin,3,6330,0x140afe0,12,DateConstructor
code-creation,Builtin,3,6341,0x140b000,238,DatePrototypeGetDate
code-creation,Builtin,3,6353,0x140b100,238,DatePrototypeGetDay
code-creation,Builtin,3,6363,0x140b200,238,DatePrototypeGetFullYear
code-creation,Builtin,3,6374,0x140b300,238,DatePrototypeGetHours
code-creation,Builtin,3,6385,0x140b400,206,DatePrototypeGetMilliseconds
code-creation,Builtin,3,6396,0x140b4e0,238,DatePrototypeGetMinutes
code-creation,Builtin,3,6407,0x140b5e0,238,DatePrototypeGetMonth
code-creation,Builtin,3,6418,0x140b6e0,238,DatePrototypeGetSeconds
code-creation,Builtin,3,6429,0x140b7e0,142,DatePrototypeGetTime
code-creation,Builtin,3,6440,0x140b880,206,DatePrototypeGetTimezoneOffset
code-creation,Builtin,3,6479,0x140b960,206,DatePrototypeGetUTCDate
tick,0x7fb69092f21f,6497,0,0x0,6
code-creation,Builtin,3,6512,0x140ba40,206,DatePrototypeGetUTCDay
code-creation,Builtin,3,6524,0x140bb20,206,DatePrototypeGetUTCFullYear
code-creation,Builtin,3,6536,0x140bc00,206,DatePrototypeGetUTCHours
code-creation,Builtin,3,6547,0x140bce0,206,DatePrototypeGetUTCMilliseconds
code-creation,Builtin,3,6559,0x140bdc0,206,DatePrototypeGetUTCMinutes
code-creation,Builtin,3,6570,0x140bea0,206,DatePrototypeGetUTCMonth
code-creation,Builtin,3,6581,0x140bf80,206,DatePrototypeGetUTCSeconds
code-creation,Builtin,3,6593,0x140c060,142,DatePrototypeValueOf
code-creation,Builtin,3,6604,0x140c100,460,DatePrototypeToPrimitive
code-creation,Builtin,3,6615,0x140c2e0,12,DatePrototypeGetYear
code-creation,Builtin,3,6626,0x140c300,12,DatePrototypeSetYear
code-creation,Builtin,3,6637,0x140c320,12,DateNow
code-creation,Builtin,3,6659,0x140c340,12,DateParse
code-creation,Builtin,3,6670,0x140c360,12,DatePrototypeSetDate
code-creation,Builtin,3,6681,0x140c380,12,DatePrototypeSetFullYear
code-creation,Builtin,3,6693,0x140c3a0,12,DatePrototypeSetHours
code-creation,Builtin,3,6703,0x140c3c0,12,DatePrototypeSetMilliseconds
code-creation,Builtin,3,6715,0x140c3e0,12,DatePrototypeSetMinutes
code-creation,Builtin,3,6726,0x140c400,12,DatePrototypeSetMonth
code-creation,Builtin,3,6738,0x140c420,12,DatePrototypeSetSeconds
code-creation,Builtin,3,6750,0x140c440,12,DatePrototypeSetTime
code-creation,Builtin,3,6761,0x140c460,12,DatePrototypeSetUTCDate
code-creation,Builtin,3,6772,0x140c480,12,DatePrototypeSetUTCFullYear
code-creation,Builtin,3,6783,0x140c4a0,12,DatePrototypeSetUTCHours
code-creation,Builtin,3,6798,0x140c4c0,12,DatePrototypeSetUTCMilliseconds
code-creation,Builtin,3,6810,0x140c4e0,12,DatePrototypeSetUTCMinutes
code-creation,Builtin,3,6822,0x140c500,12,DatePrototypeSetUTCMonth
code-creation,Builtin,3,6833,0x140c520,12,DatePrototypeSetUTCSeconds
code-creation,Builtin,3,6845,0x140c540,12,DatePrototypeToDateString
code-creation,Builtin,3,6856,0x140c560,12,DatePrototypeToISOString
code-creation,Builtin,3,6867,0x140c580,12,DatePrototypeToUTCString
code-creation,Builtin,3,6878,0x140c5a0,12,DatePrototypeToString
code-creation,Builtin,3,6889,0x140c5c0,12,DatePrototypeToTimeString
code-creation,Builtin,3,6900,0x140c5e0,12,DatePrototypeToJson
code-creation,Builtin,3,6911,0x140c600,12,DateUTC
code-creation,Builtin,3,6921,0x140c620,12,ErrorConstructor
code-creation,Builtin,3,6931,0x140c640,12,ErrorCaptureStackTrace
code-creation,Builtin,3,6942,0x140c660,12,ErrorPrototypeToString
code-creation,Builtin,3,6953,0x140c680,12,FunctionConstructor
code-creation,Builtin,3,6963,0x140c6a0,64,FunctionPrototypeApply
code-creation,Builtin,3,6974,0x140c700,12,FunctionPrototypeBind
code-creation,Builtin,3,6986,0x140c720,896,FastFunctionPrototypeBind
code-creation,Builtin,3,6997,0x140cac0,47,FunctionPrototypeCall
code-creation,Builtin,3,7007,0x140cb00,351,FunctionPrototypeHasInstance
code-creation,Builtin,3,7018,0x140cc60,12,FunctionPrototypeToString
code-creation,Builtin,3,7030,0x140cc80,205,CreateIterResultObject
code-creation,Builtin,3,7041,0x140cd60,830,CreateGeneratorObject
code-creation,Builtin,3,7052,0x140d0a0,12,GeneratorFunctionConstructor
code-creation,Builtin,3,7063,0x140d0c0,516,GeneratorPrototypeNext
code-creation,Builtin,3,7074,0x140d2e0,524,GeneratorPrototypeReturn
code-creation,Builtin,3,7085,0x140d500,528,GeneratorPrototypeThrow
code-creation,Builtin,3,7097,0x140d720,12,AsyncFunctionConstructor
code-creation,Builtin,3,7108,0x140d740,61,GetIteratorWithFeedbackLazyDeoptContinuation
code-creation,Builtin,3,7121,0x140d780,12,GlobalDecodeURI
code-creation,Builtin,3,7132,0x140d7a0,12,GlobalDecodeURIComponent
code-creation,Builtin,3,7143,0x140d7c0,12,GlobalEncodeURI
code-creation,Builtin,3,7153,0x140d7e0,12,GlobalEncodeURIComponent
code-creation,Builtin,3,7165,0x140d800,12,GlobalEscape
code-creation,Builtin,3,7175,0x140d820,12,GlobalUnescape
code-creation,Builtin,3,7185,0x140d840,12,GlobalEval
code-creation,Builtin,3,7195,0x140d860,145,GlobalIsFinite
code-creation,Builtin,3,7205,0x140d900,137,GlobalIsNaN
code-creation,Builtin,3,7215,0x140d9a0,12,JsonParse
code-creation,Builtin,3,7225,0x140d9c0,12,JsonStringify
code-creation,Builtin,3,7235,0x140d9e0,3737,LoadIC
code-creation,Builtin,3,7245,0x140e880,3213,LoadIC_Megamorphic
code-creation,Builtin,3,7255,0x140f520,3265,LoadIC_Noninlined
code-creation,Builtin,3,7267,0x1410200,52,LoadICTrampoline
code-creation,Builtin,3,7277,0x1410240,52,LoadICTrampoline_Megamorphic
code-creation,Builtin,3,7289,0x1410280,6972,KeyedLoadIC
code-creation,Builtin,3,7299,0x1411dc0,12112,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,7310,0x1414d20,52,KeyedLoadICTrampoline
